,GeoID,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
59,China,5.191,1.0290000000000001,1.125,0.893,0.521,0.057999999999999996,0.1
60,Cote d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Cameroon,5.044,0.5489999999999999,0.91,0.331,0.381,0.187,0.037000000000000005
62,Democratic Republic of Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034
65,Comoros,3.9730000000000003,0.27399999999999997,0.757,0.505,0.142,0.275,0.078
66,Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Costa Rica,7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.09300000000000001
68,Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Cyprus,6.046,1.263,1.2229999999999999,1.042,0.406,0.19,0.040999999999999995
70,Czech Republic,6.852,1.2690000000000001,1.4869999999999999,0.92,0.457,0.046,0.036000000000000004
71,Germany,6.985,1.3730000000000002,1.454,0.987,0.495,0.261,0.265
72,Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Denmark,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41
75,Dominican Republic,5.425,1.015,1.401,0.779,0.49700000000000005,0.113,0.10099999999999999
76,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114
77,Ecuador,6.028,0.912,1.3119999999999998,0.868,0.498,0.126,0.087
78,Egypt,4.166,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.076,0.067
79,Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Spain,6.354,1.286,1.484,1.062,0.36200000000000004,0.153,0.079
81,Estonia,5.893,1.237,1.528,0.8740000000000001,0.495,0.10300000000000001,0.161
82,Ethiopia,4.2860000000000005,0.336,1.033,0.532,0.344,0.209,0.1
83,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.39299999999999996
84,Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,France,6.5920000000000005,1.324,1.472,1.045,0.436,0.111,0.183
86,Faeroe Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Gabon,4.7989999999999995,1.057,1.183,0.5710000000000001,0.295,0.043,0.055
88,United Kingdom,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.348,0.278
89,United Kingdom / England,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,United Kingdom / Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,United Kingdom / Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,United Kingdom / Wales,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Georgia,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.043,0.16399999999999998
94,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04
95,Guinea,4.534,0.38,0.8290000000000001,0.375,0.332,0.207,0.086
96,Gambia,4.516,0.308,0.9390000000000001,0.428,0.382,0.26899999999999996,0.16699999999999998
97,Greece,5.287000000000001,1.181,1.156,0.9990000000000001,0.067,0.0,0.034
98,Greenland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Guatemala,6.436,0.8,1.2690000000000001,0.746,0.535,0.175,0.078
100,Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Hong Kong,5.43,1.4380000000000002,1.2770000000000001,1.122,0.44,0.258,0.287
103,Honduras,5.86,0.642,1.236,0.828,0.507,0.24600000000000002,0.078
104,Croatia,5.432,1.155,1.266,0.914,0.29600000000000004,0.11900000000000001,0.022000000000000002
105,Haiti,3.597,0.32299999999999995,0.688,0.449,0.026000000000000002,0.419,0.11
106,Hungary,5.757999999999999,1.2009999999999998,1.41,0.828,0.19899999999999998,0.081,0.02
107,Indonesia,5.192,0.9309999999999999,1.203,0.66,0.491,0.498,0.027999999999999997
108,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085
109,Ireland,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.298,0.31
110,Iran,4.548,1.1,0.8420000000000001,0.785,0.305,0.27,0.125
111,Iraq,4.437,1.043,0.98,0.574,0.24100000000000002,0.14800000000000002,0.08900000000000001
112,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.11800000000000001
113,Israel,7.138999999999999,1.276,1.455,1.0290000000000001,0.371,0.261,0.08199999999999999
114,Italy,6.223,1.294,1.4880000000000002,1.0390000000000001,0.231,0.158,0.03
115,Jamaica,5.89,0.831,1.4780000000000002,0.831,0.49,0.107,0.027999999999999997
116,Jordan,4.906000000000001,0.8370000000000001,1.225,0.815,0.38299999999999995,0.11,0.13
117,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14
118,Kazakhstan,5.809,1.173,1.508,0.7290000000000001,0.41,0.146,0.096
119,Kenya,4.5089999999999995,0.512,0.983,0.581,0.431,0.37200000000000005,0.053
120,Kyrgyz Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Cambodia,4.7,0.574,1.122,0.637,0.609,0.23199999999999998,0.062
122,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.055999999999999994
123,Kuwait,6.021,1.5,1.319,0.8079999999999999,0.493,0.142,0.09699999999999999
124,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.16399999999999998
125,Lebanon,5.197,0.987,1.224,0.815,0.21600000000000003,0.166,0.027000000000000003
126,Liberia,3.975,0.073,0.922,0.44299999999999995,0.37,0.233,0.033
127,Libya,5.525,1.044,1.3030000000000002,0.6729999999999999,0.41600000000000004,0.133,0.152
128,Sri Lanka,4.3660000000000005,0.9490000000000001,1.265,0.831,0.47,0.244,0.047
129,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.09300000000000001
130,Lithuania,6.149,1.238,1.515,0.818,0.29100000000000004,0.043,0.042
131,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.19399999999999998,0.316
132,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064
133,Macao,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Morocco,5.207999999999999,0.8009999999999999,0.782,0.782,0.418,0.036000000000000004,0.076
135,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Moldova,5.529,0.685,1.328,0.7390000000000001,0.245,0.18100000000000002,0.0
137,Madagascar,3.9330000000000003,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.16899999999999998,0.040999999999999995
138,Mexico,6.595,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001,0.073
139,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052000000000000005
140,Myanmar,4.36,0.71,1.181,0.555,0.525,0.5660000000000001,0.172
